"","word","spam_word_count"
"531","20gb",1
"532","20m",4
"533","20mm",1
"534","21,000.00",4
"535","21.4",4
"536","21.50",1
"537","21.5m.we",4
"538","210",6
"539","210.51.251.244",2
"540","2100",2
"541","211",3
"542","211.167.74.101",16
"543","211.91.20.163",2
"544","212",5
"545","212.591.1253",1
"546","2120",4
"547","213",4
"548","213.139.76.100",1
"549","213.139.76.142",2
"550","213.139.76.181",1
"551","213.139.76.69",6
"552","213151",1
"553","21377",2
"554","2149",1
"555","215.00",7
"556","216.190.209.155",1
"557","216.35.187.6",2
"558","21631",2
"559","2166",2
"560","21811",3
"561","219",1
"562","21st",2
"563","22,159",1
"564","22,500,000.00",2
"565","22.00",1
"566","22.5",2
"567","22.5lbs",2
"568","22.5m",1
"569","220.00",2
"570","2200",6
"571","2202",6
"572","220dxgn8995ptzf7",1
"573","223hl61",2
"574","225",11
"575","225.00",1
"576","227cpam0598cjwr2",2
"577","228",1
"578","229,947",4
"579","2295",12
"580","229vgld3612tqxj3",1
"581","22freewayexit2284",1
"582","23.40",1
"583","230",2
"584","230.00",1
"585","23079338",1
"586","231175433222211111111",1
"587","2316",2
"588","233hric7588tjuy9",2
"589","233mhz",6
"590","234",8
"591","235.00",1
"592","2350",1
"593","2365",2
"594","237,300",2
"595","237xtmz9546azdm1",2
"596","23873058",1
"597","2394",3
"598","2397",2
"599","239l28",1
"600","23th",2
"601","24.00",5
"602","24.95",4
"603","240",13
"604","240,299",1
"605","240.00",13
"606","2400.00",1
"607","241lean9080lrms6",1
"608","242",6
"609","243",2
"610","2431",1
"611","245",16
"612","245.00",7
"613","249",19
"614","2495glue9",1
"615","2497",1
"616","24hr",1
"617","24x7",8
"618","25,000",15
"619","25,000,000",1
"620","25,000,000.00",4
"621","25,500,000.00",1
"622","25,600,000",1
"623","25.00",28
"624","25.50",2
"625","25.95",2
"626","250",17
"627","250,000",18
"628","250.00",9
"629","2500",4
"630","2500.00",1
"631","253",3
"632","2542",1
"633","254swzm249l35",1
"634","255",6
"635","256876",2
"636","256mb",2
"637","258",3
"638","2582",7
"639","258tytl2824afwk4",2
"640","259",16
"641","25m",5
"642","25mb",1
"643","25million",2
"644","26,087.58",2
"645","260",6
"646","260.00",7
"647","26000",2
"648","26138654332222",1
"649","263",1
"650","264",1
"651","265",2
"652","265.00",1
"653","266mhz",2
"654","2696",2
"655","26982550",1
"656","26983186",1
"657","26l11",1
"658","27,983",1
"659","27.00",1
"660","270",7
"661","2700",12
"662","27000",20
"663","270bmbl15",2
"664","271",1
"665","271.00",7
"666","27104",2
"667","271666",4
"668","271wxho7524qiyt5",1
"669","273,795",2
"670","2737ccyw6",2
"671","275",1
"672","2756",1
"673","277806",1
"674","277tkyh6354fhog1",2
"675","279,440",2
"676","2791",2
"677","27x54x10",1
"678","27x54x7",1
"679","28,000,000",2
"680","28.40",1
"681","280",4
"682","2800.00",1
"683","2805",2
"684","2820",4
"685","283",15
"686","2838",1
"687","285",2
"688","285,000",1
"689","285.00",7
"690","28601",1
"691","28739",2
"692","288",1
"693","288.00",1
"694","289",5
"695","29,000",1
"696","29,200,000.00",1
"697","29.95",5
"698","29.99",42
"699","290,000.00",12
"700","290.00",2
"701","290btqi2365awll8",2
"702","290vzdq6044ffvn0",2
"703","290xrys2l33",1
"704","291l12",2
"705","294",4
"706","2942frjw9",1
"707","294dcnp4174lcsd2",2
"708","295",1
"709","295.00",4
"710","296",7
"711","297.00",1
"712","299",3
"713","299.00",3
"714","29th",2
"715","2ee",6
"716","2nd",7
"717","2w6",3
"718","2wz",4
"719","2years",3
"720","3,000",5
"721","3,000,000",2
"722","3,000.00",1
"723","3,125",2
"724","3,125,000",2
"725","3,150",2
"726","3,500",2
"727","3,600",2
"728","3.05",2
"729","3.1",4
"730","3.5",20
"731","3.5.9",1
"732","3.60",1
"733","3.70",1
"734","3.80",1
"735","3.9",2
"736","3.95",1
"737","30,000",2
"738","30,000,000",1
"739","300",93
"740","300.00",8
"741","3000",19
"742","3005",5
"743","300mhz",2
"744","301",21
"745","303",1
"746","3038",3
"747","303jwsp0699mayxl24",2
"748","305",4
"749","3055",2
"750","306",1
"751","306rfei2068izyk2",1
"752","307vjsm4803zjlu1",2
"753","308",7
"754","30815",1
"755","3084ccld6",1
"756","309rhal1944tbma1",2
"757","30gb",1
"758","30k",12
"759","30th",1
"760","31,000,000.00",1
"761","31,250",4
"762","31,640",2
"763","31.00",1
"764","310.00",2
"765","3100",2
"766","3111",2
"767","3113",5
"768","3118",1
"769","3120",4
"770","313",4
"771","315",16
"772","3150uzpl9",1
"773","315e",1
"774","318qdju7208ntps7",2
"775","319,210.00",11
"776","319,210.00in",1
"777","319qsjv4557l68",1
"778","32.97.166.75",16
"779","320",12
"780","320.00",2
"781","3201",1
"782","321",1
"783","322",2
"784","322shby6554mhhn1",2
"785","323",4
"786","3247",4
"787","325",1
"788","325qxvw7258ol53",2
"789","327",4
"790","329.00",4
"791","32mb",22
"792","32million",2
"793","32million.i",1
"794","32million.please",1
"795","33.50",1
"796","3300",3
"797","33077",2
"798","33155",1
"799","33160",1
"800","3320",4
"801","3329029",1
"802","333",8
"803","33306",2
"804","33345",2
"805","33357110",1
"806","334",108
"807","335",8
"808","336",44
"809","337",4
"810","34,930",1
"811","34.00",1
"812","340",6
"813","341mbpo6887kgzk1",2
"814","3425342r",1
"815","3425bivx9",1
"816","3442bvlb9",2
"817","345",4
"818","3463",2
"819","3470",1
"820","3472uxyd0",2
"821","3480",4
"822","3481489",2
"823","3484ljgv6",1
"824","349",2
"825","349.00",4
"826","3492qgau9",2
"827","349vjka2882cneq0",1
"828","35.00",1
"829","350",22
"830","350.00",6
"831","3500",3
"832","350d.gif",1
"833","350i",2
"834","3518383;15",2
"835","352",6
"836","3520",4
"837","353",2
"838","355",6
"839","35m",4
"840","36.00",1
"841","3602",1
"842","360brcx5658nxuv3",2
"843","3619ezft0",2
"844","362,840.00",10
"845","364",4
"846","368",1
"847","368esur2641hwje2",2
"848","369wxhf6085uywv5",2
"849","37,400,000.00",2
"850","37.00",1
"851","371",12
"852","372klvp5598wwyb0",1
"853","373",4
"854","375.00",7
"855","376gvji7941l68",2
"856","378",4
"857","379lujl31",1
"858","379vwvs6145rbwd9",1
"859","38,972",1
"860","38.50",1
"861","380",3
"862","380.00",1
"863","3820",4
"864","383",4
"865","385",1
"866","3853",2
"867","389",4
"868","39,050",2
"869","39,416",1
"870","39.00",1
"871","39.50",1
"872","39.77",4
"873","39.8",1
"874","39.95",2
"875","390",2
"876","392",7
"877","394",2
"878","3949",2
"879","397",5
"880","399wyqf8426jmcl39",1
"881","39e2",1
"882","3c0",1
"883","3c2",1
"884","3d24",1
"885","3gb",1
"886","3l58",1
"887","3pm",7
"888","3rd",22
"889","3z8",1
"890","4,000",5
"891","4,000,000",2
"892","4,220",2
"893","4,990",1
"894","4.0",1
"895","4.00",6
"896","4.01",5
"897","4.10",5
"898","4.35",1
"899","4.5",6
"900","4.50",2
"901","4.60",4
"902","4.8",2
"903","4.80",1
"904","4.90",1
"905","40,000",1
"906","40,300,000.00",2
"907","40.00",29
"908","400",58
"909","400,000",1
"910","400.00",9
"911","4000",5
"912","400zydl68l18",1
"913","401",1
"914","4020",4
"915","40233",4
"916","402tyer3917ynrp5",2
"917","403",4
"918","405cvgv8282piea7",2
"919","405taci6431vona4",1
"920","406",14
"921","408",1
"922","408iwae1238eocg7",2
"923","40yahoo.com",4
"924","410",9
"925","411",4
"926","41132",2
"927","4139volw7",2
"928","4140",4
"929","415",12
"930","416",8
"931","416l44",1
"932","4171ucac8",1
"933","418",4
"934","420",4
"935","421",6
"936","4210",3
"937","4225",2
"938","4227kypc4",1
"939","423",6
"940","4230",2
"941","4236",1
"942","4246",12
"943","424uqkh2259kcdl5",2
"944","425",4
"945","4252",2
"946","426evqm2568rurf1",2
"947","426zjry6257xgnl8",1
"948","4277rtxo1",1
"949","4280",1
"950","4281",1
"951","429.00",4
"952","429prxi6858xavb5",1
"953","42m",2
"954","43.00",3
"955","431",2
"956","4320",4
"957","432rfe3",2
"958","436",5
"959","4375wctg4",2
"960","438rjuv5615hqcf0",1
"961","439461",1
"962","44,900",1
"963","44.50",1
"964","440",4
"965","4405qbgo0",1
"966","441wmen129l19",2
"967","443",1
"968","443dlul6l33",1
"969","443kdbe8564dzal0",1
"970","446rppn3326chfp2",1
"971","447227",1
"972","4483zsio6",2
"973","4486eyrl1",2
"974","44894",4
"975","449,000",1
"976","45.00",2
"977","45.50",1
"978","450",10
"979","450.00",1
"980","451",14
"981","451971",2
"982","4520",4
"983","4548",6
"984","455",1
"985","455,000",1
"986","4589",1
"987","4592gpjt0",2
"988","459giug8374xizz6",1
"989","460",4
"990","4600",1
"991","4620",1
"992","464",4
"993","464yxfl31",1
"994","467",4
"995","468",167
"996","46million",1
"997","471166",1
"998","472",2
"999","4731",2
"1000","473auor9338jqxz2",1
"1001","475",5
"1002","477",2
"1003","479.00",1
"1004","480",9
"1005","48080",6
"1006","482giom4113kxl54",1
"1007","483zeie1934cemx1",2
"1008","485el45",2
"1009","486pakm7127jwor4",2
"1010","489odyt6241mnnu4",2
"1011","49,999",6
"1012","49.5m",4
"1013","49.95",5
"1014","49.97",6
"1015","49.99",5
"1016","490,000",12
"1017","495",2
"1018","495.00",1
"1019","496",4
"1020","499",5
"1021","499.00",6
"1022","499.99",2
"1023","4992751",1
"1024","4am",1
"1025","4gb",3
"1026","4jb1",4
"1027","4mb",2
"1028","4mp",2
"1029","4mv",2
"1030","4qj",2
"1031","4si",2
"1032","4tfox.com",12
"1033","4th",15
"1034","4tools4life.com",10
"1035","4xenical.com",2
"1036","5,000",160
"1037","5,000,000",2
"1038","5,000e",2
"1039","5,800,268",1
"1040","5.0",1
"1041","5.00",21
"1042","5.1",1
"1043","5.40",2
"1044","5.5",5
"1045","5.50",3
"1046","5.80",1
"1047","5.95",2
"1048","5'5",1
"1049","50,000",66
"1050","50,000,000",16
"1051","50.00",9
"1052","500",86
"1053","500,000",60
"1054","500,000,000",2
"1055","500,000.00",14
"1056","500.00",6
"1057","5000",6
"1058","500k",2
"1059","500mg",7
"1060","5027reyo8",1
"1061","503",1
"1062","505",8
"1063","5088vukl9",2
"1064","50megs.com",4
"1065","511",1
"1066","511ilir9233wyso9",1
"1067","512",1
"1068","512qxl78",2
"1069","513",2
"1070","514",1
"1071","515352",2
"1072","516",1
"1073","5173",1
"1074","518",1
"1075","519",2
"1076","52,227",1
"1077","520",2
"1078","5200",2
"1079","5209776",1
"1080","52098236",2
"1081","520himn3235dlkg2",1
"1082","5211973",1
"1083","521hkcx9386mbpg6",1
"1084","521lllj5910rdzl1",2
"1085","522upqi8940xzrr4",1
"1086","523mjzy7405imwk1",2
"1087","5241sxzp1",2
"1088","525",1
"1089","525iyl46",1
"1090","5275mpda5",1
"1091","528lhhz5390ofty1",1
"1092","530",2
"1093","532",3
"1094","5363pimf9",1
"1095","54.0431",1
"1096","540",13
"1097","541",1
"1098","542cvil47",1
"1099","5433",2
"1100","546fhts72l50",2
"1101","549",2
"1102","55.00",2
"1103","550",15
"1104","5500",2
"1105","550c",2
"1106","550mhz",2
"1107","551quhl47",2
"1108","555,550.00",14
"1109","5576",2
"1110","5587",2
"1111","5590",1
"1112","5592oxer3",2
"1113","56,037",1
"1114","560",8
"1115","560.00",7
"1116","5600",2
"1117","560c",2
"1118","560deskwriter",2
"1119","561",2
"1120","561vfdn8353fvpk0",1
"1121","563",2
"1122","565",4
"1123","565fafx0200lbck9",2
"1124","565fwhf6137igcl4",1
"1125","567",2
"1126","5677zuad6",2
"1127","56k",19
"1128","57.50",1
"1129","5700",2
"1130","572khie3021ssom3",1
"1131","5732",1
"1132","575",5
"1133","576ttpz2202wrst2",1
"1134","576ujou6517nikg2",1
"1135","577zfds2166wwdp8",1
"1136","578ooqx1596bvim5",1
"1137","5791",1
"1138","579ziua2166lzlr3",2
"1139","58.50",1
"1140","580",9
"1141","5800",2
"1142","582gdol8437inqv9",1
"1143","5863",1
"1144","590",8
"1145","5905",7
"1146","5906uumo0",2
"1147","590vitx5246frtb3",1
"1148","594",4
"1149","594fukk8569zaxp5",2
"1150","594hucs91l66",2
"1151","595",4
"1152","595pdfe8433gsl70",1
"1153","596",4
"1154","5963hgyk7",2
"1155","59845",3
"1156","5999",3
"1157","5bg",1
"1158","5gb",4
"1159","5l58",2
"1160","5mb",1
"1161","5mm",2
"1162","5mp",2
"1163","5pm",1
"1164","5si",2
"1165","5sim",2
"1166","5th",10
"1167","5xp",2
"1168","6,1998",2
"1169","6,250",2
"1170","6,293",1
"1171","6.0",5
"1172","6.00",4
"1173","6.00.2600.0",1
"1174","6.04",1
"1175","6.2",1
"1176","6.20",1
"1177","6.4gb",2
"1178","6.50",1
"1179","6.7",1
"1180","6.94",5
"1181","6.95",3
"1182","6.97",4
"1183","60;0",2
"1184","600",15
"1185","600,000.00",1
"1186","600.00",7
"1187","6000",2
"1188","600g",2
"1189","601",2
"1190","602",8
"1191","602nnab8882dyta1",2
"1192","603",4
"1193","604",4
"1194","604meth8297qsko2",1
"1195","604qkyb2284cvmm7",2
"1196","606",4
"1197","60618",2
"1198","6062",2
"1199","6076",2
"1200","608",6
"1201","609",2
"1202","60kg",1
"1203","61.129.68.19",6
"1204","61.129.81.99",6
"1205","61.145.116.186",8
"1206","61.151.247.39",16
"1207","61.151.247.41",3
"1208","610",4
"1209","610,470.00",12
"1210","6115cnuy4",2
"1211","6120",2
"1212","613",1
"1213","614",4
"1214","614iikt2570jdkt6",2
"1215","615",2
"1216","615ojxg5828qhwj7",1
"1217","6161",2
"1218","618",1
"1219","6184jqyf9",1
"1220","619",2
"1221","61nn",2
"1222","62.16.101.30",4
"1223","620",2
"1224","622yvdd8442bjpk2",2
"1225","623",16
"1226","625",4
"1227","625,000",2
"1228","625zbft8017tpml55",1
"1229","626",4
"1230","6264fugj9",1
"1231","626pyyf6611pnah5",1
"1232","62a",8
"1233","62llc4",6
"1234","63.00",3
"1235","63.107.112.67",2
"1236","630",4
"1237","6318",4
"1238","6326",2
"1239","6339",7
"1240","6341syjy3",2
"1241","635",11
"1242","6359760",1
"1243","639dqns2891eebx4",1
"1244","63d.net",2
"1245","64.123.160.91",12
"1246","64.21.33.238",3
"1247","64.227.161.52",2
"1248","64.251.23.141",4
"1249","640",8
"1250","6414pqes2",1
"1251","6416",1
"1252","644odrw3782jmwc6",1
"1253","6461",1
"1254","646mzxg0950l52",1
"1255","6484",1
"1256","64c",6
"1257","64mb",23
"1258","65,000",1
"1259","65.00",21
"1260","65.218.171.48",4
"1261","65.50",1
"1262","650",11
"1263","6500",2
"1264","651bumd4705mrud6",2
"1265","6524",3
"1266","655",1
"1267","655xnxn0181osws3",1
"1268","656",3
"1269","6568",4
"1270","658",1
"1271","6585",2
"1272","658xclk9936bmrc8",2
"1273","65d",2
"1274","66.230.217.86",2
"1275","66.231.133.205",3
"1276","66.231.133.70",4
"1277","66.46.145.35",1
"1278","660",8
"1279","660c",2
"1280","661pjwl15",1
"1281","662eidb9057dmtvl72",1
"1282","662xwln5l65",1
"1283","664owoa0829mnba5",1
"1284","665",1
"1285","666",4
"1286","6661",1
"1287","666666",1
"1288","668skmw1903wjsu2",1
"1289","67,262",1
"1290","670",6
"1291","670c",2
"1292","6725ppxr2",1
"1293","675",4
"1294","676cumj9620ohcr3",1
"1295","68.62.73.31",2
"1296","680",4
"1297","68104",2
"1298","683",2
"1299","685",4
"1300","685fool31",2
"1301","686",4
"1302","6897xjvk9",1
"1303","69,860",2
"1304","69.95",2
"1305","690",2
"1306","690c",2
"1307","691rcxf9796bqpb2",2
"1308","692",2
"1309","692484",2
"1310","6926zjpl7",2
"1311","694",2
"1312","6949",2
"1313","695",4
"1314","695c",2
"1315","695tl29",2
"1316","698onqh7l33",2
"1317","69chevelle",2
"1318","6bd",2
"1319","6c9",6
"1320","6gb",5
"1321","6js7m_5wnea5xu3m_d7k7oouz",1
"1322","6pcs",4
"1323","7.0",22
"1324","7.00",8
"1325","7.30",1
"1326","7.3m",1
"1327","7.400.000.00",1
"1328","7.60",1
"1329","70.00",7
"1330","700",9
"1331","700,000,000.00",1
"1332","700.00",6
"1333","7000",1
"1334","700m",5
"1335","700mhz",2
"1336","7020ct",2
"1337","7052",2
"1338","7079",4
"1339","709rjxf0830sgec0",1
"1340","71,000",14
"1341","71,500,000.00",2
"1342","71,933",1
"1343","71.5m",2
"1344","710",6
"1345","710,000.00",12
"1346","710c",2
"1347","712dacw9024evzq8",1
"1348","713",2
"1349","715",2
"1350","7176wbxv7",1
"1351","717sfou4155tgdj5",1
"1352","719yrix1751yury1",2
"1353","720",11
"1354","720c",2
"1355","721,184",4
"1356","7211iahr5",1
"1357","7227aeeo9",2
"1358","724",1
"1359","7248ovub3",2
"1360","725",4
"1361","726gl77",1
"1362","727mxia0085fmwt1",1
"1363","7312",1
"1364","732",5
"1365","732enqv9875erma4",1
"1366","734",1
"1367","735",1
"1368","739lind4606qvym4",1
"1369","73o",6
"1370","740",5
"1371","741odyj0683ybff8",1
"1372","74205",3
"1373","74206",1
"1374","744",2
"1375","744cwzi4637agiq5",1
"1376","745xqhk5559isl38",1
"1377","747ifpx8534gdaj0",1
"1378","748zyrz8462vnmg1",2
"1379","75.00",2
"1380","750",8
"1381","7500",1
"1382","7500le",1
"1383","750c",4
"1384","750cl77",1
"1385","751",5
"1386","75158",1
"1387","752djsn8958wqdd4",1
